image,condition,classifier,gt_severity,original_pred,adverse_pred,prediction_consistent,original_correct,adverse_correct
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,rain,depth_based,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,rain,combined,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,night,depth_based,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,night,geometry_based,2,2,2,1,1,1
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,night,combined,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,fog,depth_based,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,fog,combined,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,shadow,combined,2,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,rain,depth_based,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,rain,geometry_based,0,2,2,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,rain,combined,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,night,depth_based,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,night,geometry_based,0,2,2,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,night,combined,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,fog,depth_based,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,fog,geometry_based,0,2,2,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,fog,combined,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,waterlogged,depth_based,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,waterlogged,geometry_based,0,2,2,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,waterlogged,combined,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,shadow,depth_based,0,1,1,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,shadow,geometry_based,0,2,2,1,0,0
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,shadow,combined,0,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,rain,depth_based,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,rain,combined,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,night,depth_based,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,night,geometry_based,2,2,2,1,1,1
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,night,combined,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,fog,depth_based,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,fog,combined,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,shadow,combined,2,1,1,1,0,0
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,rain,depth_based,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,rain,geometry_based,1,2,2,1,0,0
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,rain,combined,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,night,depth_based,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,night,geometry_based,1,2,2,1,0,0
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,night,combined,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,fog,depth_based,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,fog,geometry_based,1,2,2,1,0,0
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,fog,combined,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,waterlogged,depth_based,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,waterlogged,geometry_based,1,2,2,1,0,0
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,waterlogged,combined,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,shadow,depth_based,1,1,1,1,1,1
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,shadow,geometry_based,1,2,2,1,0,0
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,shadow,combined,1,1,1,1,1,1
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,rain,depth_based,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,rain,combined,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,night,depth_based,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,night,geometry_based,2,2,2,1,1,1
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,night,combined,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,fog,depth_based,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,fog,combined,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,shadow,combined,2,1,1,1,0,0
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,rain,depth_based,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,rain,geometry_based,1,2,2,1,0,0
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,rain,combined,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,night,depth_based,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,night,geometry_based,1,2,2,1,0,0
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,night,combined,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,fog,depth_based,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,fog,geometry_based,1,2,2,1,0,0
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,fog,combined,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,waterlogged,depth_based,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,waterlogged,geometry_based,1,2,2,1,0,0
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,waterlogged,combined,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,shadow,depth_based,1,1,1,1,1,1
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,shadow,geometry_based,1,2,2,1,0,0
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,shadow,combined,1,1,1,1,1,1
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,rain,depth_based,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,rain,combined,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,night,depth_based,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,night,geometry_based,2,2,2,1,1,1
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,night,combined,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,fog,depth_based,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,fog,combined,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,shadow,combined,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,rain,depth_based,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,rain,combined,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,night,depth_based,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,night,geometry_based,2,2,2,1,1,1
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,night,combined,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,fog,depth_based,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,fog,combined,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,shadow,combined,2,1,1,1,0,0
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,rain,depth_based,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,rain,geometry_based,1,2,2,1,0,0
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,rain,combined,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,night,depth_based,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,night,geometry_based,1,2,2,1,0,0
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,night,combined,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,fog,depth_based,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,fog,geometry_based,1,2,2,1,0,0
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,fog,combined,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,waterlogged,depth_based,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,waterlogged,geometry_based,1,2,2,1,0,0
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,waterlogged,combined,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,shadow,depth_based,1,1,1,1,1,1
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,shadow,geometry_based,1,2,2,1,0,0
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,shadow,combined,1,1,1,1,1,1
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,rain,depth_based,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,rain,combined,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,night,depth_based,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,night,geometry_based,2,2,2,1,1,1
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,night,combined,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,fog,depth_based,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,fog,combined,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,shadow,combined,2,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,rain,depth_based,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,rain,geometry_based,0,2,2,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,rain,combined,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,night,depth_based,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,night,geometry_based,0,2,2,1,0,0
