image,sfs_success,pothole_area_px,correlation,mse,structural_similarity
kaggle_pic-114-_jpg.rf.a0f30e06b3b96d7879d5f55a7012433c,True,77433,-0.0983,0.191986,-0.0842
kaggle_pic-116-_jpg.rf.ddcb9d0e0bcf2a1a5096c4f04e6b7f9e,True,4188,-0.0198,0.142158,-0.0117
kaggle_pic-123-_jpg.rf.385ae3fbcdabda81f72ddf11f6a4b93d,True,124137,-0.1727,0.163541,-0.1609
kaggle_pic-125-_jpg.rf.3d316e9144cb7438021e01065de91057,True,16242,0.1638,0.204198,0.1211
kaggle_pic-129-_jpg.rf.d307956eee8ac32fbe793335e87c7b67,True,97891,-0.1138,0.144903,-0.106
kaggle_pic-140-_jpg.rf.430bfe74decf2b904377d127914f2092,True,28254,0.1931,0.083722,0.198
kaggle_pic-144-_jpg.rf.61a3b886f058ed3a4788426cfa7c4988,True,39201,0.2237,0.092691,0.2279
kaggle_pic-151-_jpg.rf.45a82558c583efe9dda4ea02e294595a,True,39544,0.6135,0.061908,0.5933
kaggle_pic-152-_jpg.rf.510fb0040c8523bb66ec10b0fe67b4b4,True,31532,-0.0131,0.144656,-0.0044
kaggle_pic-154-_jpg.rf.a9e6b534da24b1c1815902210ab23be9,True,62579,0.1828,0.097162,0.1777
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,True,4492,0.0357,0.18809,0.0387
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,True,51616,0.5247,0.079054,0.5037
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,True,42578,-0.4064,0.176544,-0.3937
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,True,52366,0.0648,0.110015,0.0714
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,True,226868,-0.2518,0.174122,-0.2297
